Dataset,Description,Location,Source organisation,Purpose,Format,Spatial resolution,Spatial coverage,Temporal resolution,Temporal coverage,Variables,License,DOI,URLs,Prepared by,Preparation steps,Notes
NSW fire history,Agency fire history (State govt),data/fire_history/NSW_fire_npwsfirehistory.zip,NSW Department of Planning and Environment,Record of planned burns and wildfires,Shapefile,,NSW,,1988-2023,,Creative Commons Attribution 4.0,,https://datasets.seed.nsw.gov.au/dataset/fire-history-wildfires-and-prescribed-burns-1e8b6,J Silver,,
SA fire history,Agency fire history (State govt),data/fire_history/SA_FIREMGT_FireHistory_shp.zip,SA Department for Environment and Water,Record of planned burns and wildfires,Shapefile,,SA,,1986-2023,"See the ""Attributes"" table in https://location.sa.gov.au/LMS/Reports/ReportMetadata.aspx?p_no=1159&pu=y&pa=dewnr",Creative Commons Attribution 4.0,,https://data.sa.gov.au/data/dataset/fire-history   and   https://location.sa.gov.au/LMS/Reports/ReportMetadata.aspx?p_no=1159&pu=y&pa=dewnr,J Silver,,Seems to appear in two projections: GDA2020 and GDA94
VIC fire history,Agency fire history (State govt),data/fire_history/VIC_fire-history-records-of-fires.zip,"VIC Department of Energy, Environment and Climate Action (DEECA, formerly Department of Environment, Land, Water and Planning, or DELWP)",Record of planned burns and wildfires,Shapefile,,VIC,,1991-2023,"See the ""Attributes"" tab in https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/d817f3be-a7a2-5847-9944-c0f2fdb39444/formatters/sdm-html?root=html&output=html",Creative Commons Attribution 4.0,,https://discover.data.vic.gov.au/dataset/fire-history-records-of-fires-across-victoria1   and    https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/d817f3be-a7a2-5847-9944-c0f2fdb39444/formatters/sdm-html?root=html&output=html,J Silver,,
VIC fire past count,Agency fire history (State govt),data/fire_history/VIC_fire-history-showing-the-number-of-times-areas-have-been-burnt.zip,"VIC Department of Energy, Environment and Climate Action (DEECA, formerly Department of Environment, Land, Water and Planning, or DELWP)","Fire History showing the number of times areas have been burnt, based on mapped fire history (scars)",Shapefile,,VIC,,1988-2023,"See the ""Attributes"" tab in https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/9d162aff-94cb-54fd-ab8b-b94abde16239/formatters/sdm-html?root=html&output=html",Creative Commons Attribution 4.0,,https://discover.data.vic.gov.au/dataset/fire-history-showing-the-number-of-times-areas-have-been-burnt-based-on-mapped-fire-history-sca2 and https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/9d162aff-94cb-54fd-ab8b-b94abde16239/formatters/sdm-html?root=html&output=html,J Silver,,
VIC fire severity,Agency fire history (State govt),data/fire_history/VIC_aggregated-fire-severity-classes-from-1998-onward1.zip,"VIC Department of Energy, Environment and Climate Action (DEECA, formerly Department of Environment, Land, Water and Planning, or DELWP)",Aggregated Fire Severity Classes,Shapefile,,VIC,,1991-2023,"See the ""Attributes"" tab in https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/ab51cc60-38f9-5a40-acfd-08b6a79514f9/formatters/sdm-html?root=html&output=html",Creative Commons Attribution 4.0,,https://discover.data.vic.gov.au/dataset/aggregated-fire-severity-classes-from-1998-onward1  and  https://metashare.maps.vic.gov.au/geonetwork/srv/api/records/ab51cc60-38f9-5a40-acfd-08b6a79514f9/formatters/sdm-html?root=html&output=html,J Silver,,
Climate classification based on vegetation (Koeppen): major classes,Climate classification,data/climate_classification/kpngrp.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1961-1990 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_kpngrp.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=kpngrp,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Climate classification based on vegetation (Koeppen): all classes,Climate classification,data/climate_classification/kpn.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1961-1990 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_kpn.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=kpn,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Climate classification based on seasonal rainfall: all zones,Climate classification,data/climate_classification/seasb.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1900-1999 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_seasb.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=seasb,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Climate classification based on seasonal rainfall: major groups,Climate classification,data/climate_classification/seasgrpb.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1900-1999 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_seasgrpb.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=seasgrpb,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
Climate classification based on temperature/humidity zones,Climate classification,data/climate_classification/tmp_zones.nc,BoM,Land-use classification,NetCDF (gridded),0.025 degree,Aus,Static,Based on 1961-1990 climatology,"The data variable is named Band1 - for interpretation of values, see metadata listed in data/climate_classification/readme_tmp_zones.txt",Creative Commons Attribution 4.0,,http://www.bom.gov.au/climate/maps/averages/climate-classification/?maptype=zones,J Silver,"Unzip, convert from Esri ASCII raster format to netCDF using gdal_translate, then uncompressed netCDF3 to compressed netCDF4 using ncks",BoM Product code: IDCJCM0006
